Supplier,Country,Coffee_Quality_Score,ESG_Score,Certification_Fairtrade,Certification_Organic,Distance_km,Emissions_kg_CO2,Cost_USD,Historical_ESG_Violations,Latitude,Longitude,Sustainability_Risk
CoffeeSupplier_001,Indonesia,79.42,5.57,1,1,7871,544.0,17310,0,5.29666201432475,103.48106235123231,High
CoffeeSupplier_002,Vietnam,78.49,7.72,0,0,13989,387.0,15984,0,9.573121800779639,107.78239444151609,Medium
CoffeeSupplier_003,Rwanda,72.61,7.81,0,1,12409,438.0,20219,0,-2.677150530362635,30.55786588047636,Medium
CoffeeSupplier_004,Indonesia,76.4,8.44,0,0,12418,373.0,8235,0,-3.56771226192686,137.11362915542804,Low
CoffeeSupplier_005,Ethiopia,77.7,6.02,1,0,10124,492.0,18161,1,11.697627902901914,42.15607000511936,Medium
CoffeeSupplier_006,Rwanda,85.29,5.92,1,0,6015,615.0,9908,0,-1.0912477652960217,29.632963683409315,Medium
CoffeeSupplier_007,Rwanda,81.72,8.13,1,1,7193,382.0,16567,0,-1.0826435142286606,29.083502682584534,Low
CoffeeSupplier_008,Indonesia,71.18,7.86,1,1,13415,560.0,11530,1,-2.776165987148983,107.41591623004096,Medium
CoffeeSupplier_009,Colombia,81.62,7.8,1,1,12449,436.0,13256,1,4.761390129876012,-77.03963207751183,Medium
CoffeeSupplier_010,Ethiopia,78.07,7.92,0,1,9158,405.0,16162,1,13.077591093565498,45.69611773971836,Medium
CoffeeSupplier_011,Indonesia,76.62,6.68,0,0,8925,487.0,13415,0,5.239017316299143,102.11491848062887,Medium
CoffeeSupplier_012,Ethiopia,83.06,7.78,1,0,11970,376.0,11391,0,10.568324335407393,40.11355963050554,Medium
CoffeeSupplier_013,Ethiopia,85.15,7.85,0,0,11938,434.0,19157,2,7.360412918508682,38.273102417013284,Medium
CoffeeSupplier_014,Rwanda,84.66,6.64,0,0,9784,356.0,13951,0,-2.056971608907846,30.2803436543468,Medium
CoffeeSupplier_015,Vietnam,75.8,9.74,1,0,9000,736.0,16007,1,17.29394808567595,105.44761134570848,Medium
CoffeeSupplier_016,Ethiopia,78.45,8.07,0,1,6633,504.0,17064,0,4.273234219250654,34.16648016118435,Low
CoffeeSupplier_017,Honduras,81.66,6.07,1,0,12266,416.0,23524,1,12.907252110939913,-83.40026379311607,Medium
CoffeeSupplier_018,Rwanda,84.88,8.29,1,0,13702,526.0,8077,0,-2.790543126594907,29.016496866628867,Low
CoffeeSupplier_019,Colombia,77.6,6.33,1,0,5384,487.0,15577,0,1.022302843036221,-69.23009395301719,Medium
CoffeeSupplier_020,Vietnam,79.07,8.44,0,1,5404,473.0,24984,0,22.823901543614586,107.92510169093892,Low
CoffeeSupplier_021,Honduras,74.47,8.89,1,1,13175,574.0,22060,0,15.040736720581485,-86.16793586203588,Low
CoffeeSupplier_022,Honduras,74.02,6.52,1,0,7000,591.0,18535,1,13.16878615677277,-83.45934108337563,Medium
CoffeeSupplier_023,Colombia,84.06,8.66,1,0,14860,436.0,17510,0,8.389314071498314,-71.26871243745543,Low
CoffeeSupplier_024,Vietnam,86.78,8.0,1,1,10989,431.0,14943,0,19.737344852190517,107.43077496954854,Low
CoffeeSupplier_025,Rwanda,79.64,8.49,0,0,6460,467.0,19954,0,-1.6529831563789237,30.859211280377973,Low
CoffeeSupplier_026,Brazil,85.02,9.78,0,1,12190,224.0,15804,1,1.53118869280497,-48.61540166251891,High
CoffeeSupplier_027,Vietnam,81.81,7.21,1,1,12140,318.0,14565,0,18.736263214145254,102.38696854994032,Medium
CoffeeSupplier_028,Colombia,76.77,6.6,1,0,8636,664.0,13984,1,6.920629911530652,-78.46559820370778,Medium
CoffeeSupplier_029,Honduras,81.81,6.43,1,0,9809,697.0,12670,0,14.723617646606787,-83.20400830269183,Medium
CoffeeSupplier_030,Rwanda,87.69,6.52,1,1,9178,470.0,17184,0,-1.7995481534130766,29.7937412479708,Medium
CoffeeSupplier_031,Vietnam,79.82,7.41,1,0,12245,569.0,10192,0,12.955393818884929,102.90391934089848,Medium
CoffeeSupplier_032,Brazil,87.82,7.91,1,0,11600,537.0,9248,0,-5.190076813127019,-66.36937801358185,Medium
CoffeeSupplier_033,Brazil,70.0,7.83,1,1,10997,800.0,19246,0,-29.204001171355912,-57.40908000453696,Medium
CoffeeSupplier_034,Ethiopia,84.11,8.49,0,1,7048,634.0,20790,1,12.54643113652962,44.17596822180331,Medium
CoffeeSupplier_035,Ethiopia,80.44,7.52,0,1,9780,485.0,11687,0,4.031150068434462,39.82715527554234,Medium
CoffeeSupplier_036,Indonesia,78.5,9.24,1,1,5716,385.0,12018,1,-2.118612206790128,124.64914592878782,Medium
CoffeeSupplier_037,Colombia,80.46,7.18,1,0,12939,307.0,19302,1,6.592778017357588,-74.5871632815666,Medium
CoffeeSupplier_038,Vietnam,70.06,10.0,0,0,10565,524.0,9970,0,16.722293348853412,105.60796412883064,Low
CoffeeSupplier_039,Vietnam,78.9,8.25,1,1,9544,409.0,16389,1,21.65197501915387,105.97698849476176,Medium
CoffeeSupplier_040,Indonesia,81.79,6.47,0,0,9976,329.0,23374,0,-3.5024532502812527,113.60633068536514,Medium
CoffeeSupplier_041,Honduras,87.39,6.21,0,0,8419,422.0,13788,0,14.674526054243744,-84.41534272771443,Medium
CoffeeSupplier_042,Honduras,77.41,8.08,1,1,12239,370.0,13408,0,14.569044620180442,-85.29773791450064,Low
CoffeeSupplier_043,Indonesia,75.96,7.23,1,0,14766,702.0,17446,1,1.543548037410925,118.92773305442167,Medium
CoffeeSupplier_044,Honduras,77.49,8.36,0,0,5249,606.0,8922,0,14.22313287563008,-83.96467465725281,Low
CoffeeSupplier_045,Ethiopia,84.58,8.07,1,0,13865,499.0,8419,0,8.20131996632076,39.929142758633816,Low
CoffeeSupplier_046,Vietnam,81.64,7.41,1,0,5770,678.0,18789,1,23.25318796279501,102.00178142681914,Medium
CoffeeSupplier_047,Indonesia,77.35,6.48,0,0,9363,509.0,9120,1,-7.846960537195718,112.66233893630738,Medium
CoffeeSupplier_048,Vietnam,82.57,5.68,1,0,6077,397.0,19260,3,22.375366623263844,102.52522279310604,High
CoffeeSupplier_049,Brazil,80.49,6.96,1,0,13427,683.0,10336,0,-33.33006808848858,-71.84006201329036,Medium
CoffeeSupplier_050,Ethiopia,84.84,8.53,0,1,13580,565.0,13373,0,4.418249222056609,33.563951598093915,Low
CoffeeSupplier_051,Rwanda,76.49,7.76,1,1,12901,376.0,10243,0,-1.9363936116582914,30.01959013517739,Medium
CoffeeSupplier_052,Ethiopia,78.36,6.01,1,0,9858,477.0,12612,0,6.524400167293547,38.974310759634534,Medium
CoffeeSupplier_053,Indonesia,78.04,7.71,0,1,11544,395.0,21946,0,-9.441111303105687,110.47304133610741,Medium
CoffeeSupplier_054,Rwanda,72.68,7.96,1,0,9719,334.0,19104,0,-1.8594654550578584,30.337770795087753,Medium
CoffeeSupplier_055,Brazil,81.48,6.44,0,0,7814,611.0,21429,0,-33.56949188032381,-55.628149028377784,Medium
CoffeeSupplier_056,Indonesia,81.31,7.68,0,1,8374,729.0,14371,0,-5.950951100267003,134.22980379782746,Medium
CoffeeSupplier_057,Colombia,80.03,7.57,1,0,6252,332.0,14359,1,7.6781850328884165,-71.87178673290218,Medium
CoffeeSupplier_058,Vietnam,78.83,6.13,1,1,11996,568.0,15863,1,12.414437814590958,108.8275432654315,Medium
CoffeeSupplier_059,Brazil,72.92,7.93,1,0,9673,422.0,11228,1,-31.9410735884074,-69.61981689164661,Medium
CoffeeSupplier_060,Vietnam,77.9,8.17,1,1,9530,442.0,22382,3,14.152778136213412,102.93328167972642,High
CoffeeSupplier_061,Honduras,78.29,8.8,1,0,11881,429.0,10891,0,15.864888662434218,-84.45246620271102,Low
CoffeeSupplier_062,Colombia,75.99,8.76,0,1,11949,396.0,11756,0,0.09911201659010699,-71.87849382942373,Low
CoffeeSupplier_063,Colombia,79.19,5.85,1,0,14521,506.0,23770,0,12.106686550329357,-68.30119236460882,Low
